metrics_distributed {'acc': [(1, 0.9771291196628119), (2, 0.949174444070578), (3, 0.9549754723998087), (4, 0.9556324933146794), (5, 0.9528789676566254)]}
metrics_distributed {'acc': [(1, 0.9770685988090972), (2, 0.9530451136918399), (3, 0.9510005554870133), (4, 0.93827098911517), (5, 0.9306544416233916)]}
metrics_distributed {'acc': [(1, 0.9852917042992663), (2, 0.9349195105105637), (3, 0.9134149149060513), (4, 0.8655680899168245), (5, 0.8046997951605953)]}
metrics_distributed {'acc': [(1, 0.9854445873664189), (2, 0.9504672053100072), (3, 0.9495451322867824), (4, 0.9363303264622561), (5, 0.9037021054787785)]}
metrics_distributed {'acc': [(1, 0.9762457058239637), (2, 0.9472142865786762), (3, 0.9480832309381972), (4, 0.9514064118294496), (5, 0.9545681414419459)]}
metrics_distributed {'acc': [(1, 0.9714305026034388), (2, 0.962489289463843), (3, 0.9638487859719795), (4, 0.9648437626825588), (5, 0.9645164327590843)]}
metrics_distributed {'acc': [(1, 0.9720650999698939), (2, 0.957068140093624), (3, 0.9591593319992208), (4, 0.9450661448279526), (5, 0.9298793985867853)]}
metrics_distributed {'acc': [(1, 0.9689898524802096), (2, 0.9598629878217956), (3, 0.9582921588420376), (4, 0.9396824694069102), (5, 0.9330629689317064)]}
metrics_distributed {'acc': [(1, 0.9718289655400397), (2, 0.9530288938757427), (3, 0.9560997149071478), (4, 0.9565560287589887), (5, 0.9545288854637474)]}
metrics_distributed {'acc': [(1, 0.9703242339102784), (2, 0.9230691581535748), (3, 0.9079942633109575), (4, 0.8806295836177918), (5, 0.8607182313429951)]}
metrics_distributed {'acc': [(1, 0.967890380780037), (2, 0.9452544392460609), (3, 0.9460856034160375), (4, 0.9501333965364421), (5, 0.9510587160225489)]}
metrics_distributed {'acc': [(1, 0.965282061665552), (2, 0.9542162999134007), (3, 0.9524666043686899), (4, 0.9522850823106607), (5, 0.9427771635215634)]}
metrics_distributed {'acc': [(1, 0.9664508965268495), (2, 0.9633352115203604), (3, 0.9653688482856796), (4, 0.9660031422492023), (5, 0.9658174880365192)]}
metrics_distributed {'acc': [(1, 0.9698366508570347), (2, 0.9461224981323895), (3, 0.9459259230836663), (4, 0.9455277553047962), (5, 0.9461582122178182)]}
metrics_distributed {'acc': [(1, 0.9674033801453357), (2, 0.9619656908754965), (3, 0.9627941983813555), (4, 0.962081392671826), (5, 0.9627018140388781)]}
metrics_distributed {'acc': [(1, 0.9683089331500602), (2, 0.9569341512345998), (3, 0.9466576505871717), (4, 0.9362725319589223), (5, 0.9348510531664355)]}
metrics_distributed {'acc': [(1, 0.9675996599783945), (2, 0.9555386331839836), (3, 0.9571873837816778), (4, 0.95966936440753), (5, 0.959726920148051)]}
metrics_distributed {'acc': [(1, 0.9672303887495252), (2, 0.9621424567822416), (3, 0.9649623954071068), (4, 0.9656448004835867), (5, 0.9656309280620493)]}
metrics_distributed {'acc': [(1, 0.9657567057583173), (2, 0.9364723536247267), (3, 0.9382784227134365), (4, 0.9351305673725163), (5, 0.9334584998144935)]}
